                  Words      Mean #Total #Positive #Neg   PosMean   NegMean
213                 too -0.054477      2         0    2  0.000000 -0.054477
13        investigation -0.054353      1         0    1  0.000000 -0.054353
234                step -0.053798      2         0    2  0.000000 -0.053798
415           criterion -0.053464      1         0    1  0.000000 -0.053464
429            training  0.053433      1         1    0  0.053433  0.000000
206            standard  0.053411      1         1    0  0.053411  0.000000
345             Descent  0.053376      1         1    0  0.053376  0.000000
149               prior  0.053231      2         2    0  0.053231  0.000000
414         problematic -0.053185      1         0    1  0.000000 -0.053185
14            extensive  0.052071      1         1    0  0.052071  0.000000
182              neural  0.052033      2         2    0  0.052033  0.000000
436                only -0.051720      1         0    1  0.000000 -0.051720
315           mentioned  0.051414      1         1    0  0.051414  0.000000
247              Recall -0.051318      1         0    1  0.000000 -0.051318
79          interesting  0.051220      8         8    0  0.051220  0.000000
77              Overall  0.050817      2         2    0  0.050817  0.000000
139               There -0.050157      4         0    4  0.000000 -0.050157
15                using -0.049800      1         0    1  0.000000 -0.049800
265          introduced  0.049753      1         1    0  0.049753  0.000000
207          dissimilar -0.049753      1         0    1  0.000000 -0.049753
120            guidance  0.049745      1         1    0  0.049745  0.000000
346          randomized  0.049619      1         1    0  0.049619  0.000000
383              allows  0.049570      1         1    0  0.049570  0.000000
76             audience  0.049060      2         2    0  0.049060  0.000000
222               think  0.049046      2         1    1  0.134082 -0.035990
35                 with  0.048895      5         4    1  0.064653 -0.014137
197               great  0.048714      1         1    0  0.048714  0.000000
356          sufficient  0.048708      1         1    0  0.048708  0.000000
440                code  0.048685      1         1    0  0.048685  0.000000
233              adjust -0.048654      1         0    1  0.000000 -0.048654
17            simulated -0.048653      1         0    1  0.000000 -0.048653
147            document  0.048606      2         2    0  0.048606  0.000000
109                  do -0.048452      3         0    3  0.000000 -0.048452
364             suggest -0.048367      1         0    1  0.000000 -0.048367
148           addressed -0.048323      2         0    2  0.000000 -0.048323
261          validation -0.048316      1         0    1  0.000000 -0.048316
316            Diederik -0.047977      1         0    1  0.000000 -0.047977
317               solid  0.047774      1         1    0  0.047774  0.000000
18           submission  0.047756      1         1    0  0.047756  0.000000
393                life -0.047664      1         0    1  0.000000 -0.047664
441            released  0.047481      1         1    0  0.047481  0.000000
158          particular  0.047415      1         1    0  0.047415  0.000000
217                 are -0.047383      5         1    4  0.056957 -0.073468
275          explicitly  0.047025      1         1    0  0.047025  0.000000
108             explore -0.046833      2         0    2  0.000000 -0.046833
384      differentially  0.046815      1         1    0  0.046815  0.000000
159                   1 -0.046707      1         0    1  0.000000 -0.046707
282                semi  0.046325      1         1    0  0.046325  0.000000
385      classification  0.046286      1         1    0  0.046286  0.000000
266     representations  0.046108      3         3    0  0.046108  0.000000
291                 one  0.045976      1         1    0  0.045976  0.000000
177              matter -0.045771      1         0    1  0.000000 -0.045771
25                  The  0.045659     51        41   10  0.070144 -0.054728
198                 ALE  0.045403      1         1    0  0.045403  0.000000
170         Methodology -0.045267      1         0    1  0.000000 -0.045267
135         significant  0.044606      2         2    0  0.044606  0.000000
150                 GAN  0.044204      1         1    0  0.044204  0.000000
219                need -0.043944      1         0    1  0.000000 -0.043944
220                link  0.043733      1         1    0  0.043733  0.000000
455              reason -0.043681      1         0    1  0.000000 -0.043681
422                NIDS -0.043578      1         0    1  0.000000 -0.043578
10                    a  0.043472     19        15    4  0.073861 -0.070486
262            relevant -0.043389      1         0    1  0.000000 -0.043389
221                 CNN  0.042929      1         1    0  0.042929  0.000000
394               games  0.042839      1         1    0  0.042839  0.000000
321              domain  0.042074      2         2    0  0.042074  0.000000
276              linear  0.042008      1         1    0  0.042008  0.000000
277            ConvNets  0.041797      1         1    0  0.041797  0.000000
274               which -0.041767      2         0    2  0.000000 -0.041767
442         competition  0.041690      1         1    0  0.041690  0.000000
443           scenarios  0.041253      1         1    0  0.041253  0.000000
72              putting -0.041101      1         0    1  0.000000 -0.041101
365          encourages  0.040758      1         1    0  0.040758  0.000000
322              sample  0.040728      1         1    0  0.040728  0.000000
171              aspect -0.040617      1         0    1  0.000000 -0.040617
456           rebuttals -0.040607      1         0    1  0.000000 -0.040607
457          modalities  0.040602      1         1    0  0.040602  0.000000
73                quite  0.040461      1         1    0  0.040461  0.000000
121              invite -0.040368      1         0    1  0.000000 -0.040368
178             methods -0.039908      1         0    1  0.000000 -0.039908
160                 bar  0.039868      1         1    0  0.039868  0.000000
444               taste  0.039770      1         1    0  0.039770  0.000000
458          importance -0.039733      1         0    1  0.000000 -0.039733
82                field -0.039432      1         0    1  0.000000 -0.039432
122           execution -0.039281      1         0    1  0.000000 -0.039281
83             findings -0.039271      1         0    1  0.000000 -0.039271
445               shown  0.039252      1         1    0  0.039252  0.000000
75           connection -0.039018      1         0    1  0.000000 -0.039018
129              regard -0.038675      2         0    2  0.000000 -0.038675
459          increasing -0.038655      1         0    1  0.000000 -0.038655
243               agree  0.038640      1         1    0  0.038640  0.000000
248          impressive  0.038342      1         1    0  0.038342  0.000000
127           algorithm  0.038191      1         1    0  0.038191  0.000000
183              method -0.037991      7         1    6  0.047796 -0.052288
151          questioned -0.037437      1         0    1  0.000000 -0.037437
424         application -0.037430      2         0    2  0.000000 -0.037430
395               ATari  0.037382      1         1    0  0.037382  0.000000
61              authors -0.037362     18         6   12  0.054326 -0.083206
303                from -0.037089      3         0    3  0.000000 -0.037089
423          standpoint -0.036674      1         0    1  0.000000 -0.036674
437               small  0.036662      1         1    0  0.036662  0.000000
367            strongly  0.036598      1         1    0  0.036598  0.000000
249                nets -0.036550      1         0    1  0.000000 -0.036550
250          especially -0.036543      1         0    1  0.000000 -0.036543
201         recommended  0.036413      1         1    0  0.036413  0.000000
86                would -0.036059      2         0    2  0.000000 -0.036059
396              relate -0.036002      1         0    1  0.000000 -0.036002
260           Different -0.035938      2         0    2  0.000000 -0.035938
283               based  0.035902      1         1    0  0.035902  0.000000
11            reviewers  0.035812     15         9    6  0.111821 -0.078202
267         performance  0.035797      2         2    0  0.035797  0.000000
130              noting  0.035738      1         1    0  0.035738  0.000000
209              either  0.035558      1         1    0  0.035558  0.000000
279       convolutional  0.035531      1         1    0  0.035531  0.000000
292                VAEs -0.035418      1         0    1  0.000000 -0.035418
223                Some -0.035071      1         0    1  0.000000 -0.035071
370               needs -0.034936      1         0    1  0.000000 -0.034936
224         improvement -0.034771      1         0    1  0.000000 -0.034771
416              create  0.034685      1         1    0  0.034685  0.000000
39         presentation  0.034556      2         2    0  0.034556  0.000000
184             variety  0.034343      1         1    0  0.034343  0.000000
132          compelling  0.034157      1         1    0  0.034157  0.000000
386                vote  0.034061      1         1    0  0.034061  0.000000
40                 have  0.033059      3         2    1  0.067128 -0.035078
85               common  0.033040      1         1    0  0.033040  0.000000
92             analysis  0.033015      1         1    0  0.033015  0.000000
397                  RL  0.032985      1         1    0  0.032985  0.000000
302               While -0.032863      2         0    2  0.000000 -0.032863
378            compared -0.032398      1         0    1  0.000000 -0.032398
62                 them -0.032396      1         0    1  0.000000 -0.032396
372            improved  0.032359      2         1    1  0.072201 -0.007482
438             sampled  0.032217      1         1    0  0.032217  0.000000
93                 into  0.031865      1         1    0  0.031865  0.000000
387            teachers -0.031793      1         0    1  0.000000 -0.031793
446                SOTA -0.031610      1         0    1  0.000000 -0.031610
388             student -0.031406      1         0    1  0.000000 -0.031406
95                  all  0.031322      3         2    1  0.057200 -0.020433
368             address -0.031303      1         0    1  0.000000 -0.031303
462                 its -0.031273      1         0    1  0.000000 -0.031273
251               other -0.031121      1         0    1  0.000000 -0.031121
284         constitutes  0.030750      1         1    0  0.030750  0.000000
134               worth  0.030613      1         1    0  0.030613  0.000000
210             network -0.029908      1         0    1  0.000000 -0.029908
369                more -0.029842      1         0    1  0.000000 -0.029842
269                 bit  0.028495      1         1    0  0.028495  0.000000
36                  and  0.028125     15         9    6  0.071506 -0.036945
69              problem -0.028012      3         1    2  0.057337 -0.070687
136          conceptual -0.027533      1         0    1  0.000000 -0.027533
389             predict  0.026880      1         1    0  0.026880  0.000000
431           heuristic -0.026540      1         0    1  0.000000 -0.026540
432                idea  0.026485      1         1    0  0.026485  0.000000
272          techniques  0.026451      2         2    0  0.026451  0.000000
270              strong  0.026253      1         1    0  0.026253  0.000000
398             insight  0.025896      1         1    0  0.025896  0.000000
390                 set  0.025367      1         1    0  0.025367  0.000000
271             quibble  0.024521      1         1    0  0.024521  0.000000
463                  at -0.024421      1         0    1  0.000000 -0.024421
241    interpretability  0.024165      1         1    0  0.024165  0.000000
185           iterative  0.024012      1         1    0  0.024012  0.000000
43                 does -0.023823      1         0    1  0.000000 -0.023823
181               novel  0.023284      5         4    1  0.057720 -0.114462
417               blank -0.022581      1         0    1  0.000000 -0.022581
96               states  0.022162      1         1    0  0.022162  0.000000
295                adds -0.021648      1         0    1  0.000000 -0.021648
464           carefully  0.020865      1         1    0  0.020865  0.000000
91                  new -0.020807      3         1    2  0.062302 -0.062361
97         trajectories  0.020761      1         1    0  0.020761  0.000000
391             general  0.020235      1         1    0  0.020235  0.000000
418            removing  0.019906      1         1    0  0.019906  0.000000
419                hard  0.019893      1         1    0  0.019893  0.000000
